text,label
Please can you open my calendar? now,4
Please launch youtube now,4
Please start google chrome,4
Fetch my contact information for Emily,2
Find Jane's phone number,2
Please call mom right now,3
Set an alarm for 8 PM,0
Wake me up at 6:30 AM tomorrow now,0
Find Jane's phone number,2
Remind me to buy groceries at 5 PM now,1
I need an alarm for 5:45 AM now,0
Can you open my calendar?,4
Find Jane's phone number now,2
Launch YouTube,4
Who is John in my contacts? now,2
Call John now,3
Please fetch my contact information for emily,2
Who is John in my contacts?,2
Open the weather app,4
Launch YouTube,4
What is Sarah's number?,2
Please who is john in my contacts?,2
Set a reminder for my doctor's appointment at 10 AM,1
Start Google Chrome now,4
Please remind me to call mom tomorrow at 9 PM,1
Wake me up at 6:30 AM tomorrow,0
Please please remind me to call mom tomorrow at 9 pm,1
Set a reminder for my doctor's appointment at 10 AM,1
What is Sarah's number?,2
Find Jane's phone number,2
Please remind me to take my medicine tonight,1
Please set a reminder to check the oven in 15 minutes,1
Remind me to buy groceries at 5 PM,1
Please fetch my contact information for emily,2
Launch YouTube now,4
Please make a call to sarah now,3
Please remind me to take my medicine tonight,1
Please wake me up at 6:30 am tomorrow,0
Remind me to buy groceries at 5 PM,1
Who is John in my contacts?,2
Set an alarm for 8 PM now,0
Find Jane's phone number,2
Please remind me to take my medicine tonight,1
Please remind me to call mom tomorrow at 9 PM,1
Please i need to call my sister now,3
Who is John in my contacts?,2
Set a reminder for my doctor's appointment at 10 AM,1
Launch YouTube now,4
Please make a call to sarah,3
Fetch my contact information for Emily now,2
Please set an alarm for 12 noon now,0
Please find jane's phone number,2
Call mom right now now,3
Please remind me to buy groceries at 5 pm,1
Please please remind me to call mom tomorrow at 9 pm now,1
Please fetch my contact information for emily,2
Please i need to call my sister,3
Find Jane's phone number now,2
What is Sarah's number?,2
Set a reminder for my doctor's appointment at 10 AM,1
I need the notes app to be opened,4
Please launch youtube,4
Set an alarm for 7 AM,0
Set a reminder to check the oven in 15 minutes now,1
I need an alarm for 5:45 AM now,0
Open the weather app,4
Please remind me to take my medicine tonight now,1
Please open the weather app,4
Set an alarm for 7 AM,0
Set an alarm for 7 AM now,0
Please do i have a contact named david?,2
I need to call my sister,3
Please set a reminder to check the oven in 15 minutes,1
Can you open my calendar? now,4
Launch YouTube,4
Set an alarm for 12 noon,0
Please i need the notes app to be opened,4
Please call mom right now,3
Who is John in my contacts? now,2
Make a call to Sarah,3
Please who is john in my contacts? now,2
Set an alarm for 12 noon now,0
Fetch my contact information for Emily,2
Please i need the notes app to be opened,4
What is Sarah's number?,2
Do I have a contact named David?,2
Please remind me to call mom tomorrow at 9 PM,1
Set a reminder to check the oven in 15 minutes,1
Please set an alarm for 12 noon,0
Set an alarm for 7 AM,0
Please set an alarm for 7 am,0
Remind me to buy groceries at 5 PM,1
Wake me up at 6:30 AM tomorrow,0
Wake me up at 6:30 AM tomorrow,0
Who is John in my contacts? now,2
Wake me up at 6:30 AM tomorrow now,0
Set a reminder for my doctor's appointment at 10 AM,1
Please do i have a contact named david?,2
I need the notes app to be opened now,4
Start Google Chrome,4
Fetch my contact information for Emily,2
Launch YouTube,4
What is Sarah's number? now,2
Can you dial David's number?,3
Please launch youtube,4
Call John,3
Set an alarm for 7 AM now,0
Can you dial David's number?,3
Please can you dial david's number?,3
Please set an alarm for 12 noon,0
Set a reminder for my doctor's appointment at 10 AM now,1
Set an alarm for 8 PM,0
I need to call my sister now,3
Call John now,3
Please set an alarm for 7 am,0
Set a reminder for my doctor's appointment at 10 AM,1
Please open the weather app,4
Please can you dial david's number?,3
Start Google Chrome now,4
Open the weather app,4
I need the notes app to be opened,4
Please please remind me to call mom tomorrow at 9 pm,1
Please remind me to call mom tomorrow at 9 PM now,1
I need an alarm for 5:45 AM now,0
What is Sarah's number? now,2
Please launch youtube now,4
Set an alarm for 8 PM,0
Please remind me to take my medicine tonight,1
Can you open my calendar? now,4
Please can you open my calendar?,4
Please remind me to buy groceries at 5 pm now,1
Can you dial David's number?,3
Call mom right now,3
Open the weather app now,4
Please what is sarah's number?,2
Launch YouTube,4
Please set a reminder for my doctor's appointment at 10 am now,1
Please set a reminder to check the oven in 15 minutes,1
Please call mom right now,3
Launch YouTube,4
Fetch my contact information for Emily now,2
Please set an alarm for 8 pm,0
Please remind me to take my medicine tonight,1
Please open the weather app now,4
Please remind me to buy groceries at 5 pm now,1
Make a call to Sarah,3
Please can you open my calendar?,4
Set an alarm for 8 PM now,0
I need an alarm for 5:45 AM,0
Remind me to buy groceries at 5 PM,1
Please set an alarm for 12 noon,0
Please remind me to call mom tomorrow at 9 PM now,1
Please wake me up at 6:30 am tomorrow now,0
Please remind me to call mom tomorrow at 9 PM,1
Please i need to call my sister,3
Please i need an alarm for 5:45 am,0
Please what is sarah's number?,2
Set an alarm for 8 PM,0
Call John,3
Please set a reminder to check the oven in 15 minutes,1
Make a call to Sarah,3
Please remind me to take my medicine tonight,1
Call mom right now now,3
What is Sarah's number?,2
Open the weather app,4
Set a reminder for my doctor's appointment at 10 AM,1
Set an alarm for 12 noon,0
Remind me to buy groceries at 5 PM,1
Please start google chrome now,4
Please what is sarah's number?,2
Call mom right now now,3
Remind me to take my medicine tonight,1
I need to call my sister,3
Set a reminder for my doctor's appointment at 10 AM now,1
Launch YouTube,4
Can you dial David's number?,3
Call mom right now,3
Please start google chrome,4
Wake me up at 6:30 AM tomorrow now,0
Call John,3
Remind me to buy groceries at 5 PM now,1
Please remind me to take my medicine tonight,1
Do I have a contact named David?,2
Call mom right now,3
Make a call to Sarah,3
Launch YouTube,4
Please do i have a contact named david?,2
I need the notes app to be opened,4
Please remind me to call mom tomorrow at 9 PM now,1
Can you open my calendar?,4
Make a call to Sarah now,3
Please fetch my contact information for emily,2
Remind me to take my medicine tonight,1
I need the notes app to be opened,4
Please find jane's phone number,2
Can you dial David's number?,3
Set an alarm for 7 AM,0
Please set an alarm for 7 am,0
I need to call my sister,3
Please set a reminder for my doctor's appointment at 10 am now,1
Call John,3
I need an alarm for 5:45 AM now,0
Set an alarm for 7 AM,0
Wake me up at 6:30 AM tomorrow,0
Please can you dial david's number?,3
Please can you open my calendar? now,4
Who is John in my contacts?,2
I need an alarm for 5:45 AM,0
Find Jane's phone number,2
Set an alarm for 12 noon,0
Please set an alarm for 12 noon,0
Call mom right now now,3
Set a reminder to check the oven in 15 minutes now,1
Please can you open my calendar?,4
I need an alarm for 5:45 AM now,0
Find Jane's phone number,2
Wake me up at 6:30 AM tomorrow,0
Please remind me to buy groceries at 5 pm,1
Find Jane's phone number,2
Please open the weather app now,4
Remind me to buy groceries at 5 PM now,1
Set a reminder for my doctor's appointment at 10 AM,1
Make a call to Sarah,3
Set a reminder to check the oven in 15 minutes,1
Wake me up at 6:30 AM tomorrow,0
Please open the weather app,4
Wake me up at 6:30 AM tomorrow now,0
Please call mom right now,3
Who is John in my contacts?,2
Can you open my calendar?,4
Please can you dial david's number?,3
Open the weather app,4
Open the weather app,4
Please remind me to call mom tomorrow at 9 PM,1
Launch YouTube now,4
Call John,3
Find Jane's phone number now,2
Who is John in my contacts?,2
Set a reminder to check the oven in 15 minutes,1
Can you open my calendar?,4
Set an alarm for 8 PM,0
Please set a reminder to check the oven in 15 minutes,1
Set a reminder to check the oven in 15 minutes,1
Set an alarm for 8 PM,0
I need the notes app to be opened now,4
I need to call my sister,3
Please remind me to call mom tomorrow at 9 PM,1
Set an alarm for 8 PM,0
Can you dial David's number?,3
Please please remind me to call mom tomorrow at 9 pm,1
Please remind me to call mom tomorrow at 9 PM,1
Please set an alarm for 8 pm,0
Please do i have a contact named david?,2
Please fetch my contact information for emily,2
Please call john,3
Set a reminder for my doctor's appointment at 10 AM,1
Do I have a contact named David?,2
Please remind me to call mom tomorrow at 9 PM now,1
I need to call my sister,3
Start Google Chrome,4
I need an alarm for 5:45 AM,0
Please fetch my contact information for emily,2
Please set a reminder for my doctor's appointment at 10 am,1
Please make a call to sarah,3
Please set an alarm for 7 am,0
Can you open my calendar?,4
Set an alarm for 12 noon now,0
I need the notes app to be opened now,4
Remind me to buy groceries at 5 PM,1
What is Sarah's number?,2
Open the weather app,4
Please who is john in my contacts? now,2
Remind me to take my medicine tonight now,1
Please do i have a contact named david?,2
Please can you dial david's number? now,3
Call mom right now,3
Launch YouTube now,4
Set an alarm for 7 AM,0
Please set an alarm for 7 am now,0
Call John,3
Call John,3
Set a reminder to check the oven in 15 minutes,1
Please do i have a contact named david?,2
Set an alarm for 8 PM,0
Set a reminder to check the oven in 15 minutes now,1
I need to call my sister,3
Please i need the notes app to be opened,4
Remind me to take my medicine tonight,1
Please remind me to take my medicine tonight,1
Who is John in my contacts? now,2
What is Sarah's number?,2
Please i need an alarm for 5:45 am now,0
Set an alarm for 12 noon now,0
Launch YouTube,4
Remind me to take my medicine tonight now,1
Find Jane's phone number,2
Please call john now,3
Remind me to buy groceries at 5 PM,1
Can you dial David's number?,3
Set an alarm for 12 noon,0
Please open the weather app now,4
Do I have a contact named David?,2
I need an alarm for 5:45 AM now,0
Please who is john in my contacts?,2
Please launch youtube,4
Please start google chrome now,4
What is Sarah's number?,2
Set an alarm for 7 AM,0
I need to call my sister now,3
Please i need to call my sister,3
Set an alarm for 8 PM,0
Open the weather app,4
I need to call my sister now,3
Wake me up at 6:30 AM tomorrow now,0
Please who is john in my contacts? now,2
Set an alarm for 7 AM,0
I need the notes app to be opened,4
Please set an alarm for 12 noon,0
Please remind me to call mom tomorrow at 9 PM,1
Please set a reminder for my doctor's appointment at 10 am,1
Who is John in my contacts? now,2
Open the weather app,4
Start Google Chrome now,4
Please i need to call my sister now,3
Do I have a contact named David?,2
Please wake me up at 6:30 am tomorrow now,0
Fetch my contact information for Emily now,2
Who is John in my contacts?,2
Please launch youtube,4
Launch YouTube,4
Start Google Chrome now,4
Set an alarm for 8 PM,0
Please what is sarah's number?,2
Can you open my calendar? now,4
Set a reminder to check the oven in 15 minutes,1
Set an alarm for 7 AM now,0
Make a call to Sarah now,3
